Tamaño,Hilos (p),Tiempo (s),Desv. estándar,Speedup,Eficiencia (%)
Baja,1,39.4182,1.8383,1.0,100.0
Baja,2,17.5484,0.475,2.2463,112.31
Baja,4,12.4412,0.9281,3.1684,79.21
Baja,8,9.2618,0.3237,4.256,53.2
Baja,16,8.1776,0.4477,4.8203,30.13
Media,1,82.0406,3.806,1.0,100.0
Media,2,37.7054,0.0437,2.1758,108.79
Media,4,25.231,0.5769,3.2516,81.29
Media,8,18.8326,0.1338,4.3563,54.45
Media,16,17.394,0.218,4.7166,29.48
Alta,1,141.153,1.0532,1.0,100.0
Alta,2,67.4216,0.1596,2.0936,104.68
Alta,4,44.6744,0.4958,3.1596,78.99
Alta,8,33.4266,0.5674,4.2228,52.78
Alta,16,30.6222,0.1319,4.6095,28.81
